Sent At,Direction
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 9:10 AM",OUTGOING
"6/27/20, 7:10 PM",OUTGOING
"6/27/20, 7:09 PM",OUTGOING
"6/27/20, 1:48 AM",OUTGOING
"6/27/20, 1:48 AM",OUTGOING
"6/26/20, 2:52 AM",OUTGOING
"6/25/20, 4:44 AM",OUTGOING
"6/23/20, 2:56 PM",OUTGOING
"6/22/20, 4:02 PM",OUTGOING
"6/21/20, 11:32 PM",OUTGOING
"6/20/20, 11:55 PM",OUTGOING
"6/20/20, 11:55 PM",OUTGOING
"6/20/20, 11:54 PM",OUTGOING
"6/20/20, 11:54 PM",OUTGOING
"6/20/20, 11:54 PM",OUTGOING
"6/17/20, 2:24 AM",OUTGOING
"6/17/20, 2:24 AM",OUTGOING
"6/17/20, 2:24 AM",OUTGOING
"6/17/20, 2:24 AM",OUTGOING
"6/16/20, 5:33 AM",OUTGOING
"6/16/20, 12:23 AM",OUTGOING
"6/16/20, 12:16 AM",OUTGOING
"6/15/20, 11:09 AM",OUTGOING
"6/15/20, 8:37 AM",OUTGOING
"6/15/20, 7:09 AM",OUTGOING
"9/27/20, 1:39 AM",OUTGOING
"6/13/20, 3:51 AM",OUTGOING
"6/13/20, 3:51 AM",OUTGOING
"6/13/20, 3:51 AM",OUTGOING
"6/13/20, 3:51 AM",OUTGOING
"6/13/20, 3:15 AM",OUTGOING
"6/13/20, 3:15 AM",OUTGOING
"6/13/20, 3:15 AM",OUTGOING
"6/13/20, 1:37 AM",OUTGOING
"6/13/20, 12:40 AM",OUTGOING
"6/12/20, 11:16 PM",OUTGOING
"6/12/20, 8:22 PM",OUTGOING
"6/12/20, 8:20 PM",OUTGOING
"6/12/20, 4:52 AM",OUTGOING
"6/11/20, 3:00 PM",OUTGOING
"6/11/20, 3:00 PM",OUTGOING
"6/11/20, 3:00 PM",OUTGOING
"6/11/20, 3:00 PM",OUTGOING
"6/11/20, 2:59 PM",OUTGOING
"6/11/20, 2:59 PM",OUTGOING
"6/11/20, 2:58 PM",OUTGOING
"6/11/20, 2:58 PM",OUTGOING
"6/11/20, 2:58 PM",OUTGOING
"6/11/20, 1:31 PM",OUTGOING
"6/11/20, 1:30 PM",OUTGOING
"6/11/20, 1:31 PM",OUTGOING
"6/11/20, 1:30 PM",OUTGOING
"6/11/20, 6:30 AM",OUTGOING
"6/9/20, 8:24 PM",OUTGOING
"6/9/20, 9:05 AM",OUTGOING
"6/9/20, 9:05 AM",OUTGOING
"6/9/20, 9:05 AM",OUTGOING
"6/9/20, 9:05 AM",OUTGOING
"6/9/20, 9:04 AM",OUTGOING
"6/9/20, 9:04 AM",OUTGOING
"6/9/20, 8:59 AM",OUTGOING
"6/8/20, 6:27 PM",OUTGOING
"6/8/20, 8:22 AM",OUTGOING
"6/8/20, 8:19 AM",OUTGOING
"6/7/20, 10:20 PM",OUTGOING
"6/6/20, 9:46 PM",OUTGOING
"6/6/20, 9:46 PM",OUTGOING
"6/5/20, 10:50 PM",OUTGOING
"6/5/20, 12:18 PM",OUTGOING
"6/5/20, 12:13 PM",OUTGOING
"6/5/20, 10:14 AM",OUTGOING
"6/5/20, 10:11 AM",OUTGOING
"6/5/20, 12:39 AM",OUTGOING
"6/5/20, 12:39 AM",OUTGOING
"6/5/20, 12:39 AM",OUTGOING
"6/5/20, 12:39 AM",OUTGOING
"6/4/20, 3:27 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:15 PM",OUTGOING
"6/4/20, 3:16 PM",OUTGOING
"6/4/20, 3:15 PM",OUTGOING
"6/4/20, 3:15 PM",OUTGOING
"6/4/20, 8:45 AM",OUTGOING
"6/3/20, 3:16 PM",OUTGOING
"6/3/20, 3:16 PM",OUTGOING
"6/3/20, 3:16 PM",OUTGOING
"6/3/20, 3:15 PM",OUTGOING
"6/2/20, 12:05 PM",OUTGOING
"6/2/20, 12:05 PM",OUTGOING
"6/2/20, 12:05 PM",OUTGOING
"6/2/20, 12:05 PM",OUTGOING
"6/1/20, 4:00 AM",OUTGOING
